Delivery,Name of sold-to party,Shipment Number,Sold-to party,Name of the ship-to party,Location of the ship-to party,Ship-to party,Material,UPC,GTIN,Description,Batch,Delivery quantity,Actual delivery qty,Net weight,Plant,Act. Gds Mvmnt Date,Deliv. date(From/to),Created on,Overall pick.status
808504528,ROELOFSEN SEED SALES INC,833408042,9201975,ROELFSEN SEED WHS,TORONTO,9253231,13061614,190794190251,00190794190251,C.DK.DKC43-75RIB.SCS.AF2.50USP.F7.US,H21XYF9JX,100,2,"4,850.000",8H53,27/04/2023,04/05/2023,27/04/2023,C
808160319,ROELOFSEN SEED SALES INC,833124999,9201975,ROELFSEN SEED WHS,TORONTO,9253231,13061609,190794190206,00190794190206,C.DK.DKC43-75RIB.SCS.AF2.80M.F7.US,H22RC79JT,132,132,"7,128.000",8H53,18/01/2023,18/01/2023,05/01/2023,C
808211909,DEWILDE SEEDS,833177653,9201245,DEWILDE SEEDS,RUTHTON,9201245,13061609,190794190206,00190794190206,C.DK.DKC43-75RIB.SCS.AF2.80M.F7.US,,0,0,0.000,8H53,03/02/2023,06/02/2023,25/01/2023,C
808211909,DEWILDE SEEDS,833177653,9201245,DEWILDE SEEDS,RUTHTON,9201245,13061609,190794190206,00190794190206,C.DK.DKC43-75RIB.SCS.AF2.80M.F7.US,H22RN79JT,8,8,440.000,8H53,03/02/2023,06/02/2023,01/02/2023,C
808211909,DEWILDE SEEDS,833177653,9201245,DEWILDE SEEDS,RUTHTON,9201245,13061609,190794190206,00190794190206,C.DK.DKC43-75RIB.SCS.AF2.80M.F7.US,H21X9F7JX,58,58,"2,784.000",8H53,03/02/2023,06/02/2023,01/02/2023,C
808261368,DEWILDE SEEDS,833222970,9201245,DEWILDE SEEDS,RUTHTON,9201245,13061609,190794190206,00190794190206,C.DK.DKC43-75RIB.SCS.AF2.80M.F7.US,H22R7J9JX,29,29,"1,566.000",8H53,21/02/2023,22/02/2023,13/02/2023,C
808351154,DEWILDE SEEDS,833321780,9201245,DEWILDE SEEDS,RUTHTON,9201245,13061609,190794190206,00190794190206,C.DK.DKC43-75RIB.SCS.AF2.80M.F7.US,H22EXD7JX,59,59,"3,215.500",8H53,28/03/2023,29/03/2023,14/03/2023,C
808062213,HAVANA SEED COMPANY INC,832992545,9259952,HAVANA SEED COMPANY INC,HAVANA,9259952,13061613,190794190244,00190794190244,C.DK.DKC43-75RIB.SCS.AR2.45USP.F7.US,H21XTF4JX,90,2,"4,950.000",8H3T,29/11/2022,29/11/2022,15/11/2022,C
808211909,DEWILDE SEEDS,833177653,9201245,DEWILDE SEEDS,RUTHTON,9201245,13061613,190794190244,00190794190244,C.DK.DKC43-75RIB.SCS.AR2.45USP.F7.US,H21XM99JX,45,1,"2,497.500",8H53,03/02/2023,06/02/2023,25/01/2023,C
808211909,DEWILDE SEEDS,833177653,9201245,DEWILDE SEEDS,RUTHTON,9201245,13061610,190794190213,00190794190213,C.DK.DKC43-75RIB.SCS.AR2.80M.F7.US,H22RXF9JX,60,60,"3,600.000",8H53,03/02/2023,06/02/2023,25/01/2023,C
